회사명,종목명,시가총액,시가총액순위,상장주식수,액면가,매매단위,주총일,전자투표전자투표,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견,목표주가,52주최고,52주최저,PER(WISEfn),EPS(WISEfn),PER(KRX),EPS(KRX),추정PER,EPS,PBR(WISEfn),BPS(WISEfn),배당수익률,동일업종 PER,동일업종 등락률,업종PER비율
start,18/01/01_20:35:16
weekday,Monday
회사명,종목코드
조비,001550,580,796,"5,044,441","5,000",1,2017.03.24,도입,"5,044,441","10,104",0.20%,N/A,N/A,"15,350","11,050",53.74,214,53.99,213,N/A,N/A,1.34,"8,563",N/A,14.05,+2.07%,382.49%
한국공항,005430,"1,672",506,"3,166,355","5,000",1,2017.03.24,미도입,"3,166,355","202,527",6.40%,N/A,N/A,"59,100","37,600",9.59,"5,507",9.26,"5,702",N/A,N/A,0.57,"92,138",0.95,7.64,+0.21%,125.52%
조광페인트,004910,"1,293",587,"12,800,000",500,1,2017.03.24,미도입,"12,800,000","609,794",4.76%,N/A,N/A,"12,550","9,880",7.10,"1,422",5.83,"1,733",N/A,N/A,0.58,"17,454",3.96,16.18,+1.10%,43.88%
삼천리,004690,"4,582",294,"4,055,025","5,000",1,2017.03.24,미도입,"4,055,025","939,455",23.17%,3.33,"125,333","127,000","96,400",13.26,"8,519",11.66,"9,694",13.00,"8,385",0.33,"347,648",2.21,-22.27,+1.04%,-59.54%
성보화학,003080,"1,213",613,"20,020,000",500,1,2017.03.24,미도입,"20,020,000","236,616",1.18%,N/A,N/A,"7,190","5,420",1.62,"3,748",1.62,"3,748",N/A,N/A,0.76,"8,019",7.26,14.05,+2.07%,11.53%
조흥,002600,"1,728",493,"600,000","5,000",1,2017.03.10,미도입,"600,000",0,0.00%,N/A,N/A,"430,000","172,500",21.28,"13,533",21.28,"13,533",N/A,N/A,1.53,"188,612",1.74,16.14,+0.24%,131.85%
금양,001570,"1,059",650,"42,710,111",500,1,2017.03.28,도입,"42,710,111","220,868",0.52%,N/A,N/A,"3,050","2,100",-4.78,-519,N/A,N/A,N/A,N/A,2.47,"1,004",0.00,14.05,+2.07%,-34.02%
사조대림,003960,"1,466",553,"5,960,575","5,000",1,2017.03.24,미도입,"5,960,575","70,280",1.18%,N/A,N/A,"32,500","16,950",21.45,"1,147",21.45,"1,147",N/A,N/A,0.80,"30,659",0.41,16.14,+0.24%,132.90%
남영비비안,002070,534,817,"6,867,945","1,000",1,2017.03.24,미도입,"6,867,945","137,741",2.01%,N/A,N/A,"9,320","7,300",-22.72,-342,N/A,N/A,N/A,N/A,0.36,"21,852",2.57,18.19,+0.49%,-124.90%
S&T중공업,003570,"2,429",418,"32,473,439","2,500",1,2017.08.29,미도입,"32,473,439","4,575,418",14.09%,N/A,N/A,"10,350","7,260",-9.95,-752,N/A,N/A,N/A,N/A,0.35,"21,585",2.67,9.58,-0.21%,-103.86%
한신공영,004960,"2,447",415,"10,780,114","5,000",1,2017.03.24,미도입,"10,780,114","458,771",4.26%,N/A,N/A,"22,350","13,950",8.56,"2,652",8.56,"2,652",N/A,N/A,0.88,"25,847",1.10,22.29,+1.79%,38.40%
농심,004370,"2조
										
											1,533",111,"6,082,642","5,000",1,2017.03.17,미도입,"6,082,642","1,281,093",21.06%,3.89,"430,059","380,000","289,500",10.80,"32,764",10.27,"34,464",21.00,"16,572",1.14,"309,527",1.13,16.14,+0.24%,66.91%
삼영화학공업,003720,388,876,"34,000,000",500,1,2017.03.24,도입,"34,000,000","581,541",1.71%,N/A,N/A,"1,790",995,-5.53,-206,N/A,N/A,N/A,N/A,0.48,"2,377",N/A,14.05,+2.07%,-39.36%
성신양회,004980,"1,354",568,"24,008,482","5,000",1,2017.03.24,도입,"24,008,482","2,486,812",10.36%,N/A,N/A,"8,260","5,010",11.24,502,11.08,509,N/A,N/A,0.44,"12,788",N/A,16.18,+1.10%,69.47%
신라교역,004970,"2,632",398,"16,000,000",500,1,2017.03.24,미도입,"16,000,000","762,011",4.76%,N/A,N/A,"16,750","13,800",9.49,"1,733",9.49,"1,733",N/A,N/A,0.57,"28,660",1.52,16.14,+0.24%,58.80%
신풍제지,002870,287,939,"34,958,700",500,1,2017.03.17,미도입,"34,958,700","110,799",0.32%,N/A,N/A,"14,700",796,21.63,38,17.12,48,N/A,N/A,0.55,"1,494",N/A,16.36,+0.07%,132.21%
종근당홀딩스,001630,"3,632",333,"5,009,861","2,500",1,2017.03.17,미도입,"5,009,861","445,134",8.89%,N/A,N/A,"83,900","56,400",11.65,"6,225",10.94,"6,630",N/A,N/A,0.95,"76,263",1.93,65.05,+0.91%,17.91%
크라운해태홀딩스,005740,"2,242",437,"14,847,347",500,1,2017.03.24,도입,"14,847,347","976,251",6.58%,N/A,N/A,"49,500","14,550",6.54,"2,309",6.43,"2,348",N/A,N/A,0.77,"19,512",1.33,16.14,+0.24%,40.52%
한독,002390,"4,156",306,"12,594,080",500,1,2017.03.24,미도입,"12,594,080","1,383,091",10.98%,N/A,N/A,"34,000","21,550",-64.45,-512,N/A,N/A,N/A,N/A,1.46,"22,564",0.38,65.05,+0.91%,-99.08%
SG충방,001380,"1,799",479,"44,964,143",500,1,2017.03.23,미도입,"44,964,143","52,596",0.12%,N/A,N/A,"9,600","3,140",-125.00,-32,N/A,N/A,N/A,N/A,1.42,"2,820",N/A,9.58,-0.21%,-1304.80%
SK케미칼,006120,"1조
										
											8,831",120,"22,364,135","5,000",1,2017.10.27,미도입,"22,364,135","1,875,607",8.39%,4.00,"97,667","86,600","58,300",27.64,"3,046",24.39,"3,452",20.00,"4,186",1.27,"66,542",0.42,14.05,+2.07%,196.73%
샘표,007540,868,706,"2,875,800","1,000",1,2017.03.20,미도입,"2,875,800","90,929",3.16%,N/A,N/A,"44,450","29,850",78.04,387,42.60,709,N/A,N/A,0.42,"71,241",0.66,16.14,+0.24%,483.52%
흥아해운,003280,959,682,"127,713,430",500,1,2017.03.24,도입,"127,713,430","33,691,262",26.38%,N/A,N/A,"2,340",713,-4.50,-167,N/A,N/A,N/A,N/A,0.49,"1,521",0.67,-14.50,+1.04%,31.03%
GS글로벌,001250,"2,307",431,"82,533,764","2,500",1,2017.03.24,도입,"82,533,764","3,175,207",3.85%,N/A,N/A,"3,810","2,680",9.29,301,9.64,290,N/A,N/A,0.74,"3,789",3.04,-16.50,+0.98%,-56.30%
금호산업,002990,"3,409",349,"35,849,527","5,000",1,2017.03.31,미도입,"35,849,527","1,565,005",4.37%,N/A,N/A,"14,500","8,260",9.31,"1,021",9.31,"1,021",N/A,N/A,1.08,"8,802",3.15,22.29,+1.79%,41.77%
삼부토건,001470,"1,306",582,"18,766,750","5,000",1,2017.10.16,미도입,"18,766,750","231,644",1.23%,N/A,N/A,"22,150","5,100",0.14,"49,191",0.14,"49,729",N/A,N/A,0.31,"22,451",N/A,22.29,+1.79%,0.63%
삼화콘덴서공업,001820,"4,475",298,"10,395,000","1,000",1,2017.03.24,미도입,"10,395,000","602,983",5.80%,3.67,"45,167","47,600","9,300",79.87,539,78.85,546,26.00,"1,640",8.40,"5,123",0.12,49.90,+2.95%,160.06%
페이퍼코리아,001020,667,763,"54,216,657",500,1,2017.11.27,도입,"54,216,657","1,549,840",2.86%,N/A,N/A,"3,050",280,-0.71,"-1,721",N/A,N/A,N/A,N/A,0.28,"4,380",N/A,24.54,+0.35%,-2.89%
동양,001520,"4,738",288,"238,684,063",500,1,2017.12.29,미도입,"238,684,063","16,041,503",6.72%,N/A,N/A,"3,080","1,700",19.46,102,17.88,111,N/A,N/A,0.49,"4,089",2.52,16.18,+1.10%,120.27%
한화,000880,"3조
										
											1,108",85,"74,958,735","5,000",1,2017.03.24,도입,"74,958,735","22,623,479",30.18%,4.00,"55,333","52,900","34,150",6.82,"6,082",6.06,"6,848",6.00,"6,990",0.87,"47,899",1.45,14.05,+2.07%,48.54%
JW중외제약,001060,"8,676",206,"19,151,237","2,500",1,2017.03.17,도입,"19,151,237","850,644",4.44%,N/A,N/A,"54,700","38,700",-84.20,-538,N/A,N/A,N/A,N/A,3.53,"12,835",0.53,65.05,+0.91%,-129.44%
영풍,000670,"1조
										
											9,784",114,"1,842,040","5,000",1,2017.03.24,미도입,"1,842,040","48,425",2.63%,N/A,N/A,"1,339,000","881,000",12.19,"88,137",11.38,"94,384",N/A,N/A,0.68,"1,583,095",0.93,15.74,+1.20%,77.45%
백광산업,001340,"1,188",619,"44,918,407",500,1,2017.03.24,미도입,"44,918,407","651,862",1.45%,N/A,N/A,"3,365","1,960",49.91,53,43.36,61,N/A,N/A,0.87,"3,032",0.48,14.05,+2.07%,355.23%
성창기업지주,000180,"1,827",474,"69,751,600",500,1,2017.03.15,미도입,"69,751,600","2,444,972",3.51%,N/A,N/A,"3,240","2,495",8.65,303,8.56,306,N/A,N/A,0.36,"7,313",0.38,24.54,+0.35%,35.25%
한창,005110,588,793,"34,458,589",500,1,2017.03.24,도입,"34,458,589","1,444,362",4.19%,N/A,N/A,"6,410","1,305",13.86,123,13.22,129,N/A,N/A,1.41,"1,209",1.23,-21.07,+2.60%,-65.78%
삼화왕관,004450,"1,116",638,"2,154,379","5,000",1,2017.03.24,미도입,"2,154,379","154,753",7.18%,N/A,N/A,"64,700","43,250",11.25,"4,603",9.72,"5,331",N/A,N/A,0.75,"69,276",2.61,16.36,+0.07%,68.77%
KR모터스,000040,612,783,"188,265,520",500,1,2017.11.22,미도입,"188,265,520","21,494,960",11.42%,N/A,N/A,"1,115",317,-5.70,-57,N/A,N/A,N/A,N/A,0.97,335,N/A,5.95,-0.20%,-95.80%
고려제강,002240,"5,904",257,"18,000,000","1,000",1,2017.03.24,미도입,"18,000,000","1,365,449",7.59%,N/A,N/A,"43,700","32,150",15.99,"2,051",15.98,"2,053",N/A,N/A,0.47,"70,002",0.96,16.18,+0.03%,98.83%
태양금속공업,004100,624,778,"36,700,000",500,1,2017.11.17,미도입,"36,700,000","602,685",1.64%,N/A,N/A,"3,040","1,570",7.05,241,6.34,268,N/A,N/A,0.62,"2,757",1.18,9.58,-0.21%,73.59%
선창산업,002820,971,677,"12,607,989","1,000",1,2017.03.24,도입,"12,607,989","281,343",2.23%,N/A,N/A,"11,350","7,300",11.27,683,10.88,708,N/A,N/A,0.34,"22,819",2.66,24.54,+0.35%,45.93%
DRB동일,004840,"1,493",549,"19,000,000",500,1,2017.03.24,도입,"19,000,000","472,866",2.49%,N/A,N/A,"12,800","7,370",3.89,"2,021",3.74,"2,102",N/A,N/A,0.45,"17,621",0.97,9.58,-0.21%,40.61%
넥센타이어,002350,"1조
										
											1,525",170,"97,667,877",500,1,2017.02.17,미도입,"97,667,877","13,856,038",14.19%,3.79,"16,307","15,000","11,650",6.99,"1,689",6.89,"1,713",9.00,"1,317",1.00,"11,766",0.85,9.58,-0.21%,72.96%
SG세계물산,004060,"1,876",472,"202,424,960",500,1,2017.03.24,도입,"202,424,960","3,281,654",1.62%,N/A,N/A,"1,580",833,-48.79,-19,N/A,N/A,N/A,N/A,0.94,987,N/A,18.19,+0.49%,-268.22%
롯데정밀화학,004000,"1조
										
											6,744",136,"25,800,000","5,000",1,2017.03.24,미도입,"25,800,000","5,515,177",21.38%,4.20,"68,600","65,000","29,850",-38.45,"-1,688",N/A,N/A,16.00,"4,176",1.49,"43,646",0.46,14.05,+2.07%,-273.67%
동화약품,000020,"2,723",393,"27,931,470","1,000",1,2017.03.17,미도입,"27,931,470","3,352,854",12.00%,N/A,N/A,"11,550","7,790",10.37,940,10.27,949,N/A,N/A,1.07,"9,143",1.13,65.05,+0.91%,15.94%
대림산업,000210,"2조
										
											8,675",94,"34,800,000","5,000",1,2017.03.24,미도입,"34,800,000","11,622,102",33.40%,4.00,"113,429","94,600","77,600",11.99,"6,873",12.00,"6,868",5.00,"16,014",0.69,"119,454",0.36,22.29,+1.79%,53.79%
LG상사,001120,"1조
										
											523",181,"38,760,000","5,000",1,2017.03.17,미도입,"38,760,000","5,905,599",15.24%,4.17,"37,833","35,250","26,650",18.10,"1,500",18.05,"1,504",10.00,"2,636",0.84,"32,305",0.92,-16.50,+0.98%,-109.70%
국제약품,002720,917,694,"17,396,596","1,000",1,2017.03.17,도입,"17,396,596","655,612",3.77%,N/A,N/A,"6,060","3,300",122.56,43,119.77,44,N/A,N/A,1.35,"3,917",0.17,65.05,+0.91%,188.41%
태광산업,003240,"1조
										
											4,663",149,"1,113,400","5,000",1,2017.03.24,미도입,"1,113,400","112,748",10.13%,N/A,N/A,"1,337,000","878,000",102.56,"12,841",77.53,"16,987",N/A,N/A,0.44,"3,021,101",0.13,14.05,+2.07%,729.96%
부산주공,005030,303,926,"26,824,558",500,1,2017.03.24,미도입,"26,824,558","287,754",1.07%,N/A,N/A,"3,435","1,115",-2.89,-391,N/A,N/A,N/A,N/A,0.52,"2,177",N/A,9.58,-0.21%,-30.17%
