회사명,종목명,시가총액,시가총액순위,상장주식수,액면가,매매단위,주총일,전자투표전자투표,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견,목표주가,52주최고,52주최저,PER(WISEfn),EPS(WISEfn),PER(KRX),EPS(KRX),추정PER,EPS,PBR(WISEfn),BPS(WISEfn),배당수익률,동일업종 PER,동일업종 등락률,업종PER비율
start,18/01/01_20:35:16
weekday,Monday
회사명,종목코드
삼성제약,001360,"1,665",508,"41,426,881",500,1,2017.03.28,도입,"41,426,881","895,952",2.16%,N/A,N/A,"6,570","3,305",-6.38,-630,N/A,N/A,N/A,N/A,1.94,"2,076",N/A,65.05,+0.91%,-9.81%
삼성화재해상보험,000810,"12조
										
											6,491",29,"47,374,837",500,1,2017.03.24,미도입,"47,374,837","23,247,114",49.07%,3.94,"352,313","307,500","250,000",15.74,"16,967",13.23,"20,175",12.00,"21,447",1.03,"258,548",2.29,11.34,+0.49%,138.80%
삼양식품,003230,"7,292",230,"7,533,015","5,000",1,2017.03.24,도입,"7,533,015","121,276",1.61%,4.00,"94,000","99,600","36,650",39.82,"2,431",39.82,"2,431",23.00,"4,270",4.16,"23,270",0.16,16.14,+0.24%,246.72%
한화손해보험,000370,"9,503",194,"116,738,915","5,000",1,2017.03.24,미도입,"116,738,915","13,167,197",11.28%,4.00,"10,811","11,550","6,610",6.68,"1,219",6.76,"1,204",N/A,N/A,0.84,"9,658",1.22,11.34,+0.49%,58.91%
NI스틸,008260,833,717,"28,426,850",500,1,2017.03.17,도입,"28,426,850","474,038",1.67%,N/A,N/A,"4,850","2,900",8.14,360,8.14,360,N/A,N/A,0.96,"3,055",1.71,16.18,+0.03%,50.31%
일동홀딩스,000230,"1,589",526,"10,490,296","1,000",1,2017.03.24,미도입,"10,490,296","287,937",2.74%,N/A,N/A,"26,200","13,400",1.01,"15,023",0.97,"15,624",N/A,N/A,1.01,"15,015",0.99,65.05,+0.91%,1.55%
대동공업,000490,"2,278",433,"23,728,210","1,000",1,2017.03.24,미도입,"23,728,210","683,489",2.88%,N/A,N/A,"11,150","6,500",-12.72,-755,N/A,N/A,N/A,N/A,0.95,"10,130",0.42,-77.50,+0.40%,16.41%
오리온홀딩스,001800,"1조
										
											6,695",137,"62,644,053",500,1,2017.09.26,미도입,"62,644,053","13,053,278",20.84%,N/A,N/A,"798,000","21,000",6.74,"3,952",9.29,"2,868",N/A,N/A,0.88,"30,274",2.25,16.14,+0.24%,41.76%
깨끗한나라,004540,"1,549",532,"37,240,693","5,000",1,2017.03.24,미도입,"37,240,693","730,626",1.96%,N/A,N/A,"6,220","3,805",20.90,199,20.10,207,N/A,N/A,0.75,"5,549",N/A,15.92,+1.01%,131.28%
태원물산,001420,263,968,"7,600,000",500,1,2017.03.24,미도입,"7,600,000","183,934",2.42%,N/A,N/A,"9,460","3,330",18.43,188,17.77,195,N/A,N/A,0.78,"4,427",2.89,9.58,-0.21%,192.38%
코오롱,002020,"7,406",227,"12,061,185","5,000",1,2017.03.24,미도입,"12,061,185","807,744",6.70%,N/A,N/A,"83,000","52,100",39.43,"1,557",39.54,"1,553",N/A,N/A,1.34,"45,691",0.81,14.05,+2.07%,280.64%
삼성전자,005930,"328조
										
											9,430",1,"129,098,494","5,000",1,2017.03.24,미도입,"129,098,494","68,085,552",52.74%,4.05,"3,407,895","2,876,000","1,770,000",18.63,"136,760",16.13,"157,967",9.00,"270,602",1.91,"1,331,779",1.12,15.53,+3.04%,119.96%
대유플러스,000300,643,769,"88,120,526",500,1,2017.10.13,미도입,"88,120,526","1,615,993",1.83%,N/A,N/A,"1,265",676,-17.38,-42,N/A,N/A,N/A,N/A,0.71,"1,032",N/A,9.58,-0.21%,-181.42%
BYC,001460,"1,911",470,"624,615","5,000",1,2017.03.17,미도입,"624,615","9,171",1.47%,N/A,N/A,"412,000","303,500",14.66,"20,872",11.01,"27,784",N/A,N/A,0.65,"471,887",0.26,18.19,+0.49%,80.59%
쌍용자동차,003620,"7,063",232,"137,949,396","5,000",1,2017.03.31,도입,"137,949,396","106,362,392",77.10%,3.29,"6,367","8,350","4,975",12.10,423,12.10,423,-19.00,-266,0.86,"5,923",N/A,5.95,-0.20%,203.36%
쌍용양회공업,003410,"1조
										
											8,794",121,"100,771,919","5,000",1,2017.03.24,미도입,"100,771,919","3,974,968",3.94%,4.00,"23,333","20,850","11,600",9.30,"2,005",9.22,"2,023",9.00,"2,148",1.03,"18,138",0.86,16.18,+1.10%,57.48%
SPC삼립,005610,"1조
										
											3,504",156,"8,629,009","5,000",1,2017.03.24,미도입,"8,629,009","407,918",4.73%,4.00,"184,000","225,000","119,000",27.28,"5,737",26.46,"5,914",28.00,"5,554",4.46,"35,095",0.61,16.14,+0.24%,169.02%
흥국화재,000540,"3,437",346,"64,242,645","5,000",1,2017.03.24,도입,"64,242,645","1,545,666",2.41%,N/A,N/A,"7,980","3,550",11.08,483,11.05,484,N/A,N/A,0.63,"8,475",N/A,11.34,+0.49%,97.71%
우리종금,010050,"2,409",420,"474,203,406",500,1,2017.03.24,도입,"474,203,406","3,803,942",0.80%,N/A,N/A,830,502,10.37,49,10.58,48,N/A,N/A,1.44,352,N/A,8.06,-1.00%,128.66%
일양약품,007570,"7,342",228,"19,045,984","2,500",1,2017.03.24,도입,"19,045,984","1,216,457",6.39%,N/A,N/A,"44,800","31,650",127.23,303,118.62,325,N/A,N/A,3.59,"10,727",0.26,65.05,+0.91%,195.59%
한진,002320,"3,113",371,"11,974,656","5,000",1,2017.03.24,미도입,"11,974,656","1,680,507",14.03%,3.75,"38,667","38,300","24,400",7.87,"3,304",7.76,"3,352",-9.00,"-2,766",0.41,"63,994",1.54,13.70,+0.70%,57.45%
한국수출포장공업,002200,626,776,"4,000,000","5,000",1,2017.03.24,도입,"4,000,000","183,811",4.60%,N/A,N/A,"19,700","15,700",-300.96,-52,N/A,N/A,N/A,N/A,0.28,"56,026",3.19,16.36,+0.07%,-1839.61%
현대자동차,005380,"34조
										
											3,631",4,"220,276,479","5,000",1,2017.03.17,미도입,"220,276,479","99,526,749",45.18%,3.92,"189,269","173,000","133,000",8.24,"18,938",7.75,"20,118",11.00,"14,744",0.62,"250,098",2.56,5.95,-0.20%,138.49%
모나미,005360,539,814,"18,897,307","1,000",1,2017.03.24,도입,"18,897,307","659,587",3.49%,N/A,N/A,"4,950","2,780",9.60,297,9.53,299,N/A,N/A,0.73,"3,907",2.46,21.08,+0.56%,45.54%
한화케미칼,009830,"5조
										
											2,080",57,"164,809,359","5,000",1,2017.03.24,도입,"164,809,359","48,273,649",29.29%,4.00,"41,063","38,600","24,100",6.92,"4,564",6.86,"4,604",5.00,"6,165",0.98,"32,179",1.11,14.05,+2.07%,49.25%
아세아,002030,"2,509",409,"2,191,024","5,000",1,2017.03.17,미도입,"2,191,024","166,542",7.60%,N/A,N/A,"136,000","93,000",7.21,"15,890",6.25,"18,309",N/A,N/A,0.34,"341,685",1.31,16.36,+0.07%,44.07%
카프로,006380,"3,032",375,"40,000,000",500,1,2017.09.22,도입,"40,000,000","1,038,598",2.60%,N/A,N/A,"9,400","5,450",-39.69,-191,N/A,N/A,N/A,N/A,1.20,"6,298",N/A,14.05,+2.07%,-282.49%
롯데지주,004990,"4조
										
											7,968",62,"73,683,000",200,1,2017.08.29,미도입,"73,683,000","15,368,872",20.86%,4.00,"75,750","230,000","58,100",33.13,"1,965",46.73,"1,393",103.00,630,0.95,"68,737",0.69,16.14,+0.24%,205.27%
대한방직,001070,789,725,"1,060,000","5,000",1,2017.11.29,미도입,"1,060,000","6,791",0.64%,N/A,N/A,"118,500","70,000",-19.32,"-3,851",N/A,N/A,N/A,N/A,0.44,"169,005",N/A,18.19,+0.49%,-106.21%
서울식품공업,004410,867,707,"337,410,000",100,1,2017.09.08,미도입,"337,410,000","10,929,455",3.24%,N/A,N/A,"8,000",243,257.00,1,257.00,1,N/A,N/A,3.25,79,N/A,16.14,+0.24%,1592.32%
아이에이치큐,003560,"3,687",328,"145,153,497",500,1,2017.03.24,미도입,"145,153,497","7,058,262",4.86%,N/A,N/A,"3,255","1,695",84.67,30,81.94,31,N/A,N/A,1.63,"1,561",N/A,58.99,+0.71%,143.53%
LS네트웍스,000680,"2,281",432,"78,803,016","5,000",1,2017.03.24,미도입,"78,803,016","89,197",0.11%,N/A,N/A,"3,275","2,835",-2.62,"-1,106",N/A,N/A,N/A,N/A,0.35,"8,203",N/A,18.19,+0.49%,-14.40%
금호전기,001210,494,829,"6,916,051","5,000",1,2017.03.21,도입,"6,916,051","189,281",2.74%,N/A,N/A,"12,200","6,970",-2.36,"-3,030",N/A,N/A,N/A,N/A,0.43,"16,733",N/A,62.17,+1.19%,-3.80%
알보젠코리아,002250,"3,356",353,"11,857,922","5,000",1,2017.03.31,미도입,"11,857,922",0,0.00%,N/A,N/A,"30,400","21,950",38.66,732,38.66,732,N/A,N/A,1.69,"16,723",N/A,65.05,+0.91%,59.43%
하이트진로홀딩스,000140,"2,344",425,"23,206,765","5,000",1,2017.03.17,미도입,"23,206,765","1,109,971",4.78%,N/A,N/A,"12,750","9,700",8.57,"1,179",7.91,"1,277",N/A,N/A,0.41,"24,352",1.98,25.20,+1.91%,34.01%
노루홀딩스,000320,"2,140",446,"13,291,151",500,1,2017.03.24,미도입,"13,291,151","349,535",2.63%,N/A,N/A,"19,250","14,050",19.90,809,15.39,"1,046",N/A,N/A,0.48,"33,509",2.80,16.18,+1.10%,122.99%
기아자동차,000270,"13조
										
											5,797",27,"405,363,347","5,000",1,2017.03.24,미도입,"405,363,347","151,792,068",37.45%,3.83,"41,652","41,450","29,950",4.93,"6,795",4.87,"6,873",10.00,"3,353",0.51,"66,294",3.28,5.95,-0.20%,82.86%
효성,004800,"4조
										
											8,989",60,"35,117,455","5,000",1,2017.09.22,미도입,"35,117,455","7,818,381",22.26%,4.12,"186,250","178,000","119,000",10.75,"12,971",10.19,"13,692",8.00,"16,786",1.28,"108,788",3.58,14.05,+2.07%,76.51%
CJ,001040,"5조
										
											2,956",56,"29,176,998","5,000",1,2017.03.24,미도입,"29,176,998","5,665,996",19.42%,3.79,"240,042","226,500","158,000",25.57,"7,099",23.16,"7,837",11.00,"16,864",1.38,"131,244",0.74,30.11,+1.41%,84.92%
두산,000150,"2조
										
											1,694",110,"19,198,003","5,000",1,2017.03.31,미도입,"19,198,003","1,553,201",8.09%,4.00,"175,778","149,500","92,600",15.30,"7,384",11.33,"9,972",30.00,"3,795",0.93,"121,679",4.51,30.11,+1.41%,50.81%
휴스틸,005010,"1,069",643,"6,918,617","5,000",1,2017.03.24,미도입,"6,918,617","318,082",4.60%,N/A,N/A,"16,900","14,100",-193.12,-80,N/A,N/A,N/A,N/A,0.28,"55,779",3.24,16.18,+0.03%,-1193.57%
DB손해보험,005830,"5조
										
											410",59,"70,800,000",500,1,2017.10.13,미도입,"70,800,000","34,336,532",48.50%,4.00,"93,167","84,500","58,400",9.63,"7,396",8.61,"8,273",8.00,"9,068",1.08,"65,873",2.32,11.34,+0.49%,84.92%
대웅,003090,"1조
										
											1,250",173,"58,141,980",500,1,2017.03.24,미도입,"58,141,980","2,881,002",4.96%,N/A,N/A,"65,500","11,700",56.74,341,41.88,462,N/A,N/A,1.72,"11,250",0.52,65.05,+0.91%,87.23%
동양물산기업,002900,"1,066",644,"65,388,900",500,1,2017.03.28,도입,"65,388,900","5,248,375",8.03%,N/A,N/A,"5,290","1,580",29.11,56,29.11,56,N/A,N/A,0.80,"2,029",0.61,-77.50,+0.40%,-37.56%
진양산업,003780,380,879,"13,000,000",500,1,2017.03.16,미도입,"13,000,000","155,268",1.19%,N/A,N/A,"4,630","2,775",28.35,103,28.35,103,N/A,N/A,1.07,"2,726",5.99,14.05,+2.07%,201.78%
영진약품,003520,"1조
										
											6,058",143,"182,892,731",500,1,2017.06.12,미도입,"182,892,731","3,484,389",1.91%,N/A,N/A,"13,700","6,790",365.83,24,365.83,24,N/A,N/A,14.68,598,N/A,65.05,+0.91%,562.38%
케이씨씨,002380,"4조
										
											220",71,"10,556,513","5,000",1,2017.03.24,미도입,"10,556,513","2,087,603",19.78%,4.00,"494,444","447,000","308,000",26.40,"14,430",24.59,"15,491",18.00,"21,614",0.63,"605,683",2.36,16.18,+1.10%,163.16%
롯데칠성음료,005300,"1조
										
											623",180,"799,346","5,000",1,2017.08.29,미도입,"799,346","154,399",19.32%,3.43,"1,723,333","1,923,000","1,191,000",26.02,"51,074",26.27,"50,583",-25.00,"-53,298",0.77,"1,729,195",0.75,25.20,+1.91%,103.25%
일신방직,003200,"2,640",397,"2,400,000","5,000",1,2017.03.24,미도입,"2,400,000","165,245",6.89%,N/A,N/A,"127,500","105,000",13.31,"8,265",12.97,"8,484",N/A,N/A,0.38,"289,667",2.55,18.19,+0.49%,73.17%
롯데푸드,002270,"6,259",251,"1,131,870","5,000",1,2017.08.29,미도입,"1,131,870","105,145",9.29%,3.86,"771,711","689,000","536,000",13.02,"42,479",13.37,"41,363",17.00,"32,212",0.80,"688,361",1.09,16.14,+0.24%,80.67%
아모레퍼시픽그룹,002790,"11조
										
											6,266",31,"82,458,180",500,1,2017.03.17,미도입,"82,458,180","17,338,155",21.03%,3.21,"154,083","161,500","107,000",36.61,"3,851",33.25,"4,240",55.00,"2,582",4.14,"34,017",0.33,29.66,+1.26%,123.43%
제주은행,006220,"1,582",528,"22,128,774","5,000",1,2017.03.22,미도입,"22,128,774","351,041",1.59%,N/A,N/A,"8,250","6,630",6.29,"1,137",6.29,"1,137",N/A,N/A,0.47,"15,168",1.40,9.37,-0.12%,67.13%
한솔홀딩스,004150,"2,116",451,"46,359,871","5,000",1,2017.03.31,도입,"46,359,871","5,094,911",10.99%,N/A,N/A,"7,340","4,225",-51.29,-89,N/A,N/A,N/A,N/A,0.37,"12,420",N/A,24.54,+0.35%,-209.01%
벽산,007210,"2,742",391,"68,560,000",500,1,2017.03.24,도입,"68,560,000","7,062,844",10.30%,N/A,N/A,"4,720","2,815",12.20,328,10.50,381,N/A,N/A,1.04,"3,840",0.88,16.18,+1.10%,75.40%
한국제지,002300,"1,121",636,"5,004,949","5,000",1,2017.03.24,미도입,"5,004,949","342,624",6.85%,N/A,N/A,"33,200","22,200",6.35,"3,530",6.12,"3,658",N/A,N/A,0.22,"103,543",2.68,24.54,+0.35%,25.88%
롯데손해보험,000400,"3,894",319,"134,280,000","1,000",1,2017.03.17,미도입,"134,280,000","11,431,757",8.51%,N/A,N/A,"4,665","2,320",13.43,216,13.30,218,N/A,N/A,0.77,"3,768",0.34,11.34,+0.49%,118.43%
대한제분,001130,"2,814",385,"1,690,000","5,000",1,2017.03.17,미도입,"1,690,000","227,108",13.44%,N/A,N/A,"195,000","162,500",10.32,"16,130",10.23,"16,283",N/A,N/A,0.41,"402,922",1.20,16.14,+0.24%,63.94%
대상,001680,"9,546",193,"34,648,025","1,000",1,2017.03.24,미도입,"34,648,025","3,386,328",9.77%,4.12,"33,375","29,150","21,400",15.36,"1,794",15.36,"1,794",15.00,"1,898",1.17,"23,549",1.45,16.14,+0.24%,95.17%
LG,003550,"15조
										
											7,027",23,"172,557,131","5,000",1,2017.03.24,미도입,"172,557,131","53,645,642",31.09%,3.93,"110,357","91,400","58,300",14.89,"6,111",14.88,"6,114",7.00,"12,494",1.15,"78,934",1.10,30.11,+1.41%,49.45%
동아쏘시오홀딩스,000640,"7,857",220,"6,138,228","5,000",1,2017.03.24,미도입,"6,138,228","1,016,840",16.57%,N/A,N/A,"166,500","104,500",4.51,"28,395",4.37,"29,311",N/A,N/A,0.88,"144,762",0.78,65.05,+0.91%,6.93%
코리안리,003690,"1조
										
											3,241",160,"120,369,116",500,1,2017.03.17,미도입,"120,369,116","45,713,133",37.98%,N/A,N/A,"13,500","10,550",8.27,"1,330",8.44,"1,304",N/A,N/A,0.60,"18,383",2.95,11.34,+0.49%,72.93%
한국주철관공업,000970,"2,045",457,"22,800,500",500,1,2017.06.23,미도입,"22,800,500","217,384",0.95%,N/A,N/A,"11,700","8,560",8.38,"1,070",7.90,"1,135",N/A,N/A,0.78,"11,519",2.23,16.18,+0.03%,51.79%
한일시멘트,003300,"1조
										
											790",176,"7,545,313","5,000",1,2017.03.17,미도입,"7,545,313","943,369",12.50%,3.80,"180,750","160,500","72,900",13.35,"10,713",12.27,"11,653",12.00,"12,352",0.67,"214,002",1.12,16.18,+1.10%,82.51%
엔피씨,004250,"1,917",469,"36,720,000",500,1,2017.03.29,미도입,"36,720,000","993,816",2.71%,N/A,N/A,"6,900","5,130",5.41,965,5.40,966,N/A,N/A,0.89,"5,854",1.53,14.05,+2.07%,38.51%
한국유리공업,002000,"3,427",347,"10,079,660","5,000",1,2017.03.17,미도입,"10,079,660","8,149,770",80.85%,N/A,N/A,"41,800","25,650",14.07,"2,417",14.08,"2,415",N/A,N/A,0.63,"53,899",2.28,11.94,+0.43%,117.84%
세아제강,003030,"5,772",258,"6,000,000","5,000",1,2017.05.26,미도입,"6,000,000","796,504",13.28%,4.00,"135,000","117,500","87,200",8.86,"10,854",8.59,"11,201",8.00,"12,726",0.44,"216,644",1.82,16.18,+0.03%,54.76%
대한전선,001440,"9,635",191,"856,473,009",500,1,2017.09.20,미도입,"856,473,009","5,774,746",0.67%,N/A,N/A,"2,185","1,065",-53.57,-21,N/A,N/A,N/A,N/A,3.02,373,N/A,28.66,+0.87%,-186.92%
대한제당,001790,"2,166",444,"8,840,002","2,500",1,2017.03.17,미도입,"8,840,002","251,376",2.84%,N/A,N/A,"32,000","22,500",10.45,"2,344",8.92,"2,747",N/A,N/A,0.49,"49,752",2.65,16.14,+0.24%,64.75%
삼양홀딩스,000070,"1조
										
											448",184,"8,564,271","5,000",1,2017.03.24,미도입,"8,564,271","563,845",6.58%,N/A,N/A,"140,500","83,000",47.84,"2,550",41.74,"2,923",N/A,N/A,0.70,"174,957",1.64,16.14,+0.24%,296.41%
세기상사,002420,299,932,"407,592","5,000",1,2017.03.24,미도입,"407,592","4,557",1.12%,N/A,N/A,"135,000","57,300",-26.20,"-2,802",N/A,N/A,N/A,N/A,1.24,"59,155",N/A,58.99,+0.71%,-44.41%
한국타이어월드와이드,000240,"1조
										
											7,581",131,"93,020,173",500,1,2017.03.24,미도입,"93,020,173","8,069,688",8.68%,4.00,"25,750","23,300","17,950",6.72,"2,812",6.63,"2,852",9.00,"2,129",0.62,"30,573",1.59,9.58,-0.21%,70.15%
전방,000950,324,912,"1,680,000","5,000",1,2017.03.24,미도입,"1,680,000",223,0.01%,N/A,N/A,"34,750","19,500",-1.92,"-10,057",N/A,N/A,N/A,N/A,0.14,"141,856",N/A,18.19,+0.49%,-10.56%
대한항공,003490,"3조
										
											2,105",83,"94,844,634","5,000",1,2017.03.24,미도입,"47,412,833","14,421,104",30.42%,4.06,"42,500","39,250","25,350",-4.72,"-7,171",N/A,N/A,5.00,"6,740",1.51,"22,352",N/A,-9.02,+0.67%,52.33%
동일방직,001530,"1,254",604,"2,335,786","5,000",1,2017.03.17,미도입,"2,335,786","80,416",3.44%,N/A,N/A,"62,600","53,000",-34.01,"-1,579",N/A,N/A,N/A,N/A,0.19,"284,335",0.90,18.19,+0.49%,-186.97%
유한양행,000100,"2조
										
											5,548",101,"11,665,896","5,000",1,2017.03.24,미도입,"11,665,896","2,838,515",24.33%,3.89,"263,347","262,500","185,500",16.90,"12,956",15.19,"14,414",21.00,"10,491",1.66,"132,227",0.83,65.05,+0.91%,25.98%
CJ대한통운,000120,"3조
										
											1,937",84,"22,812,344","5,000",1,2017.03.24,미도입,"22,812,344","3,642,253",15.97%,3.87,"203,571","200,000","137,000",57.24,"2,446",44.22,"3,166",52.00,"2,694",1.05,"133,105",N/A,13.70,+0.70%,417.81%
메리츠화재,000060,"2조
										
											5,929",100,"110,338,000",500,1,2017.03.24,도입,"110,338,000","22,044,878",19.98%,3.33,"26,100","28,800","14,600",10.80,"2,175",10.74,"2,189",7.00,"3,571",1.58,"14,893",3.53,11.34,+0.49%,95.24%
경방,000050,"3,811",323,"27,415,270",500,1,2017.03.23,미도입,"27,415,270","595,112",2.17%,N/A,N/A,"16,950","13,100",12.93,"1,075",12.93,"1,075",N/A,N/A,0.56,"24,799",1.29,18.19,+0.49%,71.08%
유수홀딩스,000700,"1,654",510,"26,041,812","2,500",1,2017.03.24,미도입,"26,041,812","1,677,038",6.44%,N/A,N/A,"9,210","5,500",-317.50,-20,20.35,312,N/A,N/A,0.76,"8,351",0.79,13.70,+0.70%,-2317.52%
한진중공업홀딩스,003480,"1,190",618,"29,529,812","5,000",1,2017.03.24,도입,"29,529,812","388,096",1.31%,N/A,N/A,"7,470","3,705",-0.35,"-11,499",N/A,N/A,N/A,N/A,0.25,"16,336",N/A,-4.78,+3.08%,7.32%
end,18/01/01_20:38:53
